"nom_etude","nom_table","nom_variable","libelle","libelle_court","description"
"titanic_exemple","titanic","PassengerId","Identifiant du passager","ID_pass","Numéro d'identification unique attribué à chaque passager"
"titanic_exemple","titanic","Survived","Statut de survie","Survie","Indique si le passager a survécu (1) ou non (0) au naufrage"
"titanic_exemple","titanic","Pclass","Classe de la cabine","Classe","Classe socio-économique du billet (1 = 1ère classe, 2 = 2ème classe, 3 = 3ème classe)"
"titanic_exemple","titanic","Name","Nom complet du passager","Nom","Nom et titre du passager, incluant parfois le nom de jeune fille pour les femmes mariées"
"titanic_exemple","titanic","Sex","Sexe du passager","Sexe","Genre du passager (male/female)"
"titanic_exemple","titanic","Age","Âge du passager","Age","Âge du passager en années (certaines valeurs sont manquantes)"
"titanic_exemple","titanic","SibSp","Nombre de frères, sœurs ou conjoints à bord","Fratrie","Nombre de frères, sœurs et/ou conjoints voyageant avec le passager"
"titanic_exemple","titanic","Parch","Nombre de parents ou enfants à bord","Parents","Nombre de parents et/ou enfants voyageant avec le passager"
"titanic_exemple","titanic","Ticket","Numéro de billet","Billet","Numéro du billet de voyage"
"titanic_exemple","titanic","Fare","Prix du billet","Prix","Montant payé pour le billet en livres sterling"
"titanic_exemple","titanic","Cabin","Numéro de cabine","Cabine","Numéro de la cabine du passager (nombreuses valeurs manquantes)"
"titanic_exemple","titanic","Embarked","Port d'embarquement","Port","Port d'embarquement (C = Cherbourg, Q = Queenstown, S = Southampton)"
